_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,main_category,main_category:confidence,sub_category__arts_and_entertainment,sub_category__arts_and_entertainment:confidence,sub_category__autos_and_vehicles,sub_category__autos_and_vehicles:confidence,sub_category__beauty_and_fitness,sub_category__beauty_and_fitness:confidence,sub_category__books_and_literature,sub_category__books_and_literature:confidence,sub_category__business_and_industry,sub_category__business_and_industry:confidence,sub_category__career_and_education,sub_category__career_and_education:confidence,sub_category__computer_and_electronics,sub_category__computer_and_electronics:confidence,sub_category__finance,sub_category__finance:confidence,sub_category__food_and_drink,sub_category__food_and_drink:confidence,sub_category__gambling,sub_category__gambling:confidence,sub_category__games,sub_category__games:confidence,sub_category__health,sub_category__health:confidence,sub_category__home_and_garden,sub_category__home_and_garden:confidence,sub_category__internet_and_telecom,sub_category__internet_and_telecom:confidence,sub_category__law_and_government,sub_category__law_and_government:confidence,sub_category__news_and_media,sub_category__news_and_media:confidence,sub_category__people_and_society,sub_category__people_and_society:confidence,sub_category__pets_and_animals,sub_category__pets_and_animals:confidence,sub_category__recreation_and_hobbies,sub_category__recreation_and_hobbies:confidence,sub_category__reference,sub_category__reference:confidence,sub_category__science,sub_category__science:confidence,sub_category__shopping,sub_category__shopping:confidence,sub_category__sports,sub_category__sports:confidence,sub_category__travel,sub_category__travel:confidence,main_category_gold,sub_category__arts_and_entertainment_gold,sub_category__autos_and_vehicles_gold,sub_category__beauty_and_fitness_gold,sub_category__books_and_literature_gold,sub_category__business_and_industry_gold,sub_category__career_and_education_gold,sub_category__computer_and_electronics_gold,sub_category__finance_gold,sub_category__food_and_drink_gold,sub_category__gambling_gold,sub_category__games_gold,sub_category__health_gold,sub_category__home_and_garden_gold,sub_category__internet_and_telecom_gold,sub_category__law_and_government_gold,sub_category__news_and_media_gold,sub_category__people_and_society_gold,sub_category__pets_and_animals_gold,sub_category__recreation_and_hobbies_gold,sub_category__reference_gold,sub_category__science_gold,sub_category__shopping_gold,sub_category__sports_gold,sub_category__travel_gold,url
765574685,FALSE,finalized,5,8/4/15 21:05,Science,0.5606,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2463,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0calc.com
765574686,FALSE,finalized,5,8/5/15 2:22,Not_working,0.7534,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0day.in
765574687,FALSE,finalized,5,8/3/15 17:40,Gambling,0.7741,,0,,0,,0,,0,,0,,0,,0,,0,,0,Sports,0.4465,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1-x-bet.com
765574688,FALSE,finalized,5,8/4/15 13:43,Shopping,0.5939,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2412,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1000-instrumentov.ru
765574689,FALSE,finalized,5,8/4/15 16:30,Food_and_Drink,0.5925,,0,,0,,0,,0,,0,,0,,0,,0,Cooking_and_Recipes,0.351,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1000.menu
765574690,FALSE,finalized,5,8/4/15 5:10,Not_working,0.8223,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,10000birds.com
765574691,FALSE,finalized,5,8/3/15 18:16,Books_and_Literature,0.3809,,0,,0,,0,,0.2358,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1000kitap.com
765574692,FALSE,finalized,5,8/5/15 4:27,Autos_and_Vehicles,0.8271,,0,Motorcycles,0.3052,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1000ps.at
765574695,FALSE,finalized,5,8/4/15 11:29,Pets_and_Animals,0.2282,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.1761,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1001salles.com
765574696,FALSE,finalized,5,8/3/15 17:34,Internet_and_Telecom,0.559,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Telecommunications,0.3125,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,10086.cn
765574697,FALSE,finalized,5,8/4/15 23:24,Health,0.5991,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Nutrition,0.3589,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,100diet.net
765574698,FALSE,finalized,5,8/3/15 22:33,Not_working,0.6365,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,101test.com
765574699,FALSE,finalized,5,8/5/15 9:28,Career_and_Education,0.3804,,0,,0,,0,,0,,0,,0.2357,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,101xp.com
765574700,FALSE,finalized,5,8/4/15 2:26,Internet_and_Telecom,0.5593,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2465,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,104.com
765574701,FALSE,finalized,5,8/4/15 10:15,Sports,0.5912,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Fishing,0.3495,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1091.co.jp
765574702,FALSE,finalized,5,8/4/15 5:08,Not_working,0.8345,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,10bet.co.uk
765574703,FALSE,finalized,5,8/3/15 16:42,Gambling,0.7795,,0,,0,,0,,0,,0,,0,,0,,0,,0,Sports,0.4487,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,10bet.com
765574704,FALSE,finalized,5,8/4/15 13:40,Gambling,0.5733,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2446,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,10betlive.com
765574705,FALSE,in progress,1,,Books_and_Literature,1,,0,,0,,0,Book_Retailers,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1100ad.com
765574706,FALSE,finalized,5,8/5/15 6:22,Health,0.6235,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2348,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,111.com.cn
765574707,FALSE,finalized,5,8/4/15 13:37,Career_and_Education,0.7671,,0,,0,,0,,0,,0,Jobs_and_Employment,0.4129,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1111.com.tw
765574708,FALSE,finalized,5,8/3/15 18:26,Not_working,0.418,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,11185.cn
765574709,FALSE,finalized,5,8/3/15 14:11,Computer_and_Electronics,0.813,,0,,0,,0,,0,,0,,0,Programming,0.661,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,111cn.net
765574710,FALSE,finalized,5,8/3/15 19:02,News_and_Media,0.7756,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Magazines_and_E-Zines,0.6015,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,112-magazin.de
765574711,FALSE,finalized,5,8/4/15 2:51,Not_working,0.8036,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1180049.com
765574712,FALSE,finalized,5,8/3/15 17:56,Reference,0.3869,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2372,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,118118.com
765574714,FALSE,finalized,5,8/4/15 16:55,Computer_and_Electronics,0.792,,0,,0,,0,,0,,0,,0,Consumer_Electronics,0.3241,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,121ware.com
765574716,FALSE,finalized,5,8/4/15 3:05,Not_working,0.6587,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,123doc.org
765574718,FALSE,finalized,5,8/4/15 4:48,Not_working,0.6388,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,123haitao.com
765574719,FALSE,finalized,5,8/4/15 16:15,Arts_and_Entertainment,0.4122,,0.2423,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,123kubo.com
765574720,FALSE,finalized,5,8/4/15 8:10,Not_working,0.4504,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,123lottosystem.net
765574721,FALSE,finalized,5,8/4/15 2:35,Not_working,0.4412,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,123meng.com
765574722,FALSE,finalized,5,8/4/15 14:15,Computer_and_Electronics,0.5875,,0,,0,,0,,0,,0,,0,Software,0.3451,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,123project.ir
765574723,FALSE,finalized,5,8/5/15 9:27,Arts_and_Entertainment,0.8029,Movies,0.6446,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,123vidz.com
765574724,FALSE,finalized,5,8/4/15 9:16,Internet_and_Telecom,0.6067,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,File_Sharing,0.242,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1337x.to
765574725,FALSE,in progress,1,,Beauty_and_Fitness,1,,0,,0,Fitness,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,13980.com
765574726,FALSE,finalized,5,8/4/15 13:01,Internet_and_Telecom,0.56,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Search_Engine,0.3136,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,140online.com
765574727,FALSE,finalized,5,8/5/15 10:44,Adult,0.5728,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,155chan.info
765574728,FALSE,finalized,5,8/3/15 22:31,Not_working,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,158c.com
765574729,FALSE,finalized,5,8/4/15 3:58,Not_working,0.8304,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,159i.com
765574730,FALSE,finalized,5,8/3/15 22:07,Not_working,0.4547,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,15yan.com
765574731,FALSE,finalized,5,8/5/15 4:22,Shopping,0.7774,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,General_Merchandise,0.6044,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1688.com
765574732,FALSE,finalized,5,8/4/15 1:48,Games,0.3547,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2289,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,17173.com
765574733,FALSE,finalized,5,8/3/15 20:37,Books_and_Literature,0.6009,,0,,0,,0,Book_Retailers,0.2501,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,177tvb.com
765574734,FALSE,finalized,5,8/4/15 18:42,Games,0.7729,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Online,0.3269,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,178.com
765574735,FALSE,finalized,5,8/4/15 10:19,Games,0.3475,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2267,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,17k.com
765574736,FALSE,finalized,5,8/3/15 23:16,Computer_and_Electronics,0.3742,,0,,0,,0,,0,,0,,0,,0.2342,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,17sucai.com
765574737,FALSE,finalized,5,8/3/15 20:39,Health,0.598,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2404,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1800contacts.com
765574738,FALSE,finalized,5,8/5/15 10:47,Gambling,0.7719,,0,,0,,0,,0,,0,,0,,0,,0,,0,Casinos,0.4462,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,188bet.com
765574739,FALSE,finalized,5,8/4/15 20:52,Internet_and_Telecom,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Telecommunications,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,189.cn
765574740,FALSE,finalized,5,8/3/15 19:33,Adult,0.5527,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,18pornolar.com
765574741,FALSE,finalized,5,8/5/15 7:20,Career_and_Education,0.2219,,0,,0,,0,,0,,0,,0.1726,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,18touch.com
765574742,FALSE,finalized,5,8/4/15 8:01,Not_working,0.4444,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1905.com
765574743,FALSE,finalized,5,8/4/15 20:50,Career_and_Education,0.4135,,0,,0,,0,,0,,0,,0.2425,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1980.org.tw
765574744,FALSE,finalized,5,8/4/15 5:17,Not_working,0.8253,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1day.sk
765574745,FALSE,finalized,5,8/4/15 21:55,Not_working,0.7687,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1digitalstock.com
765574746,FALSE,finalized,5,8/3/15 22:15,Autos_and_Vehicles,1,,0,Car_Rentals,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1hai.cn
765574747,FALSE,finalized,5,8/3/15 22:15,Reference,0.39,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2379,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1ilac.com
765574748,FALSE,finalized,5,8/5/15 8:08,Career_and_Education,0.2369,,0,,0,,0,,0,,0,,0.1808,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1kid.ru
765574749,FALSE,finalized,5,8/3/15 19:17,Arts_and_Entertainment,0.7566,Animation_and_Comics,0.5724,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1kkk.com
765574750,FALSE,finalized,5,8/4/15 5:10,Not_working,0.8223,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1life.com
765574751,FALSE,finalized,5,8/4/15 10:44,Not_working,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1myrdrcts.com
765574753,FALSE,finalized,5,8/3/15 19:33,Law_and_Government,0.7605,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Immigration_and_Visas,0.5784,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1st4immigration.com
765574754,FALSE,finalized,5,8/4/15 1:10,Not_working,0.4519,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1stdibs.com
765574755,FALSE,finalized,5,8/4/15 12:47,Internet_and_Telecom,0.7855,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Web_Design,0.617,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1stwebdesigner.com
765574756,FALSE,finalized,5,8/4/15 0:40,Not_working,0.7973,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1sudoku.net
765574757,FALSE,finalized,5,8/5/15 8:14,Arts_and_Entertainment,0.6138,Photography,0.3767,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1tu.com
765574758,FALSE,finalized,5,8/3/15 17:08,Gambling,0.5797,,0,,0,,0,,0,,0,,0,,0,,0,,0,Sports,0.3361,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1x-bet.com
765574759,FALSE,finalized,5,8/3/15 22:29,Reference,0.5459,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Archives,0.298,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20000-names.com
765574761,FALSE,finalized,5,8/4/15 8:30,Law_and_Government,0.5792,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Immigration_and_Visas,0.3354,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2016dvlottery.com
765574762,FALSE,finalized,5,8/4/15 5:08,Adult,0.7795,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20jack.net
765574763,FALSE,finalized,5,8/3/15 23:15,Gambling,0.5328,,0,,0,,0,,0,,0,,0,,0,,0,,0,Casinos,0.2839,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,21grandcasinos.com
765574764,FALSE,finalized,5,8/3/15 15:55,Gambling,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,Casinos,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,21novacasino.com
